epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.09807,1.71171,3.81794,1.66389,0.01696,0.41794,0.04549,0.02328,1.38325,3.57897,1.49086,4.998e-05,4.998e-05,4.998e-05
2,5.33872,1.26381,3.64471,1.38541,0.01567,0.47563,0.14458,0.11147,1.03988,3.53726,1.13054,0.000107218,0.000107218,0.000107218
3,7.60415,1.03916,3.425,1.21094,0.01557,0.49377,0.25705,0.19472,0.96209,3.48399,1.08249,0.000163301,0.000163301,0.000163301
4,9.87496,1.00619,3.12772,1.18695,0.0142,0.54564,0.26544,0.16779,1.05939,3.46662,1.13252,0.00021823,0.00021823,0.00021823
5,12.1333,1.02915,2.75037,1.18245,0.01857,0.55306,0.29085,0.19854,1.1914,3.41942,1.19279,0.000272004,0.000272004,0.000272004
6,14.3856,1.09465,2.34331,1.21484,0.02121,0.62335,0.32439,0.21221,1.18663,3.32164,1.22041,0.000324624,0.000324624,0.000324624
7,16.6438,1.09735,1.89243,1.22932,0.02611,0.65046,0.36765,0.27467,1.0004,3.1605,1.13042,0.00037609,0.00037609,0.00037609
8,18.878,1.13287,1.70011,1.25329,0.97969,0.25379,0.4755,0.3635,0.97201,2.90716,1.09669,0.0004264,0.0004264,0.0004264
9,21.0767,1.0426,1.48182,1.20672,0.98324,0.24429,0.54179,0.37905,0.99216,2.67976,1.12783,0.000475556,0.000475556,0.000475556
10,23.3162,1.00684,1.38285,1.18693,0.97541,0.24497,0.57888,0.40436,0.99432,2.53557,1.13552,0.000523558,0.000523558,0.000523558
11,25.516,1.02007,1.34642,1.22876,0.95987,0.27121,0.57536,0.40842,0.96617,2.27919,1.12328,0.000570405,0.000570405,0.000570405
12,27.7759,1.01432,1.28874,1.20388,0.75338,0.35786,0.57811,0.38755,0.95247,1.86993,1.13181,0.000616098,0.000616098,0.000616098
13,29.9706,0.9812,1.21305,1.18533,0.77514,0.34711,0.64612,0.43866,0.94915,1.7425,1.12449,0.000660636,0.000660636,0.000660636
14,32.1991,0.93533,1.10598,1.16327,0.61514,0.47814,0.62446,0.41629,0.98204,1.61493,1.11431,0.000704019,0.000704019,0.000704019
15,34.4119,0.93619,1.06704,1.16149,0.62851,0.44641,0.61076,0.4181,0.94905,1.63921,1.09683,0.000717546,0.000717546,0.000717546
16,36.6073,0.90203,1.06151,1.1474,0.64224,0.48811,0.63795,0.4295,0.93326,1.60815,1.13689,0.000709299,0.000709299,0.000709299
17,38.81,0.89788,1.03118,1.14813,0.61486,0.53075,0.6532,0.45369,0.92465,1.54738,1.12949,0.000701053,0.000701053,0.000701053
18,41.0316,0.91962,1.01894,1.13358,0.73795,0.52187,0.64102,0.44388,1.00069,1.70644,1.16727,0.000692806,0.000692806,0.000692806
19,43.2232,0.91383,1.01005,1.15099,0.67293,0.4894,0.60306,0.42808,1.00623,1.61424,1.17522,0.000684559,0.000684559,0.000684559
20,45.4691,0.88865,0.9596,1.13345,0.70571,0.5439,0.64412,0.42998,0.97498,1.44461,1.14388,0.000676313,0.000676313,0.000676313
21,47.6607,0.88409,0.97537,1.11822,0.6263,0.59215,0.63656,0.39255,1.11165,1.60932,1.22295,0.000668066,0.000668066,0.000668066
22,49.8924,0.87156,0.94321,1.10578,0.62202,0.66625,0.67755,0.43001,1.07601,1.38908,1.18183,0.000659819,0.000659819,0.000659819
23,52.0786,0.89043,0.94792,1.13624,0.65711,0.6912,0.69577,0.47628,0.94652,1.18902,1.09057,0.000651573,0.000651573,0.000651573
24,54.3254,0.86552,0.91661,1.11375,0.68875,0.69283,0.70337,0.48189,0.94882,1.32678,1.10749,0.000643326,0.000643326,0.000643326
25,56.5425,0.87195,0.94005,1.11254,0.66723,0.66132,0.70518,0.48014,0.98211,1.27399,1.1325,0.000635079,0.000635079,0.000635079
26,58.7692,0.86595,0.92145,1.11832,0.65332,0.71571,0.70374,0.48561,0.93682,1.26395,1.09373,0.000626832,0.000626832,0.000626832
27,60.9711,0.87176,0.92145,1.12277,0.70556,0.69723,0.74985,0.51296,0.91179,1.18948,1.06759,0.000618586,0.000618586,0.000618586
28,63.1826,0.87176,0.91399,1.1167,0.75902,0.68113,0.72766,0.4943,0.97034,1.20859,1.1012,0.000610339,0.000610339,0.000610339
29,65.3697,0.85316,0.86744,1.09792,0.7444,0.68492,0.72549,0.51787,0.8955,1.08524,1.05474,0.000602092,0.000602092,0.000602092
30,67.6226,0.86328,0.89361,1.11228,0.71255,0.70664,0.71959,0.52496,0.86867,1.02431,1.06432,0.000593846,0.000593846,0.000593846
31,69.8505,0.89261,0.9105,1.12364,0.71033,0.72078,0.73973,0.53308,0.86513,1.00499,1.06147,0.000585599,0.000585599,0.000585599
32,72.0912,0.80373,0.82501,1.07514,0.75022,0.70045,0.75417,0.53294,0.87332,1.08453,1.07173,0.000577352,0.000577352,0.000577352
33,74.2936,0.83887,0.84955,1.10204,0.72793,0.70926,0.74047,0.52012,0.90702,1.11812,1.07893,0.000569106,0.000569106,0.000569106
34,76.5006,0.83403,0.85782,1.07756,0.72812,0.66555,0.71588,0.50449,0.96045,1.26229,1.12984,0.000560859,0.000560859,0.000560859
35,78.7067,0.80977,0.82148,1.06993,0.69145,0.70354,0.71668,0.50408,0.96461,1.233,1.11697,0.000552612,0.000552612,0.000552612
36,80.9274,0.80775,0.84995,1.0792,0.7763,0.64695,0.71242,0.50175,0.92252,1.15881,1.10653,0.000544365,0.000544365,0.000544365
37,83.1039,0.83733,0.82686,1.09404,0.73525,0.72951,0.73871,0.52209,0.91608,1.09845,1.09444,0.000536119,0.000536119,0.000536119
38,85.3246,0.79711,0.82252,1.08228,0.6797,0.68535,0.73588,0.53761,0.85878,0.93225,1.04915,0.000527872,0.000527872,0.000527872
39,87.5449,0.79008,0.79524,1.0716,0.73151,0.70999,0.74389,0.53872,0.82966,0.90322,1.04771,0.000519625,0.000519625,0.000519625
40,89.7781,0.79854,0.79535,1.07421,0.7306,0.7534,0.76591,0.55122,0.86034,0.91075,1.04369,0.000511379,0.000511379,0.000511379
41,91.9767,0.80294,0.81893,1.07612,0.71679,0.76465,0.76536,0.55638,0.82033,0.90162,1.00796,0.000503132,0.000503132,0.000503132
42,94.1981,0.7987,0.7971,1.0648,0.73167,0.74048,0.75411,0.54609,0.83997,0.92858,1.03067,0.000494885,0.000494885,0.000494885
43,96.3782,0.78291,0.78832,1.06768,0.77918,0.72798,0.76996,0.56769,0.83257,0.91836,1.02687,0.000486639,0.000486639,0.000486639
44,98.6433,0.78615,0.77142,1.06431,0.75486,0.75962,0.79151,0.56936,0.83149,0.93552,1.03156,0.000478392,0.000478392,0.000478392
45,100.846,0.7762,0.7737,1.05586,0.79561,0.69214,0.76684,0.56171,0.80533,0.96374,1.0248,0.000470145,0.000470145,0.000470145
46,103.078,0.79564,0.76597,1.06204,0.73721,0.73078,0.76397,0.55512,0.83027,1.0375,1.04741,0.000461898,0.000461898,0.000461898
47,105.28,0.78096,0.76357,1.06069,0.72511,0.76406,0.78034,0.56653,0.82251,0.98986,1.05511,0.000453652,0.000453652,0.000453652
48,107.501,0.78527,0.76068,1.05873,0.79224,0.72677,0.78946,0.58078,0.82504,0.92339,1.03037,0.000445405,0.000445405,0.000445405
49,109.698,0.77197,0.74838,1.05992,0.77559,0.7533,0.77726,0.56784,0.82707,0.92498,1.03797,0.000437158,0.000437158,0.000437158
50,111.912,0.78345,0.74699,1.05115,0.77255,0.75494,0.76956,0.57054,0.81805,0.92251,1.01795,0.000428912,0.000428912,0.000428912
51,114.111,0.75951,0.74114,1.04537,0.78544,0.73303,0.7797,0.57334,0.80649,0.8595,1.00865,0.000420665,0.000420665,0.000420665
52,116.327,0.77908,0.78996,1.06958,0.75483,0.78985,0.79558,0.59046,0.79343,0.84323,0.99861,0.000412418,0.000412418,0.000412418
53,118.51,0.74485,0.71685,1.02534,0.73848,0.79828,0.80033,0.59232,0.7877,0.85178,0.99884,0.000404172,0.000404172,0.000404172
54,120.723,0.788,0.76742,1.06173,0.76353,0.76607,0.79427,0.58909,0.81566,0.87005,1.01795,0.000395925,0.000395925,0.000395925
55,122.937,0.75413,0.74577,1.03962,0.73455,0.77332,0.77896,0.57896,0.81427,0.88259,1.02162,0.000387678,0.000387678,0.000387678
56,125.151,0.76637,0.7306,1.03741,0.76487,0.77541,0.78376,0.58857,0.76924,0.82635,0.99297,0.000379431,0.000379431,0.000379431
57,127.33,0.75364,0.71687,1.03872,0.75992,0.80122,0.7852,0.58861,0.78526,0.82633,1.0025,0.000371185,0.000371185,0.000371185
58,129.532,0.73216,0.71477,1.03109,0.77817,0.77348,0.79002,0.58728,0.79718,0.84629,1.00888,0.000362938,0.000362938,0.000362938
59,131.705,0.75011,0.71056,1.04138,0.77999,0.76058,0.79197,0.59055,0.8136,0.84744,1.02452,0.000354691,0.000354691,0.000354691
60,133.933,0.72232,0.66968,1.04109,0.76648,0.79726,0.78983,0.58084,0.82632,0.84094,1.03708,0.000346445,0.000346445,0.000346445
61,136.138,0.74257,0.69721,1.04042,0.79992,0.78923,0.79354,0.59185,0.81634,0.83119,1.02369,0.000338198,0.000338198,0.000338198
62,138.341,0.74766,0.69884,1.04423,0.78392,0.79314,0.79195,0.58997,0.81154,0.81576,1.01274,0.000329951,0.000329951,0.000329951
63,140.519,0.72506,0.68637,1.03962,0.76979,0.79168,0.79478,0.58564,0.81819,0.80717,1.02052,0.000321705,0.000321705,0.000321705
64,142.717,0.7308,0.68169,1.02827,0.7939,0.76663,0.80127,0.5871,0.82441,0.84495,1.02007,0.000313458,0.000313458,0.000313458
65,144.896,0.75604,0.67843,1.03868,0.81269,0.74977,0.79735,0.5939,0.82882,0.87739,1.02846,0.000305211,0.000305211,0.000305211
66,147.104,0.72882,0.69335,1.03459,0.82425,0.75184,0.79593,0.58759,0.80611,0.82878,1.01535,0.000296964,0.000296964,0.000296964
67,149.299,0.73956,0.70445,1.03377,0.8098,0.78147,0.79833,0.58763,0.80185,0.79102,1.0091,0.000288718,0.000288718,0.000288718
68,151.498,0.74967,0.68643,1.04931,0.73856,0.81529,0.80262,0.5939,0.79208,0.79149,1.01404,0.000280471,0.000280471,0.000280471
69,153.694,0.73184,0.68034,1.03746,0.81891,0.781,0.8095,0.60593,0.78913,0.77314,0.99582,0.000272224,0.000272224,0.000272224
70,155.925,0.73154,0.66836,1.03062,0.77261,0.78787,0.80875,0.60741,0.77214,0.76363,0.98569,0.000263978,0.000263978,0.000263978
71,158.109,0.72165,0.68306,1.02878,0.72669,0.81342,0.80708,0.61095,0.76654,0.77338,0.97842,0.000255731,0.000255731,0.000255731
72,160.298,0.7362,0.67118,1.04614,0.76367,0.79262,0.8035,0.60079,0.76503,0.79372,0.98057,0.000247484,0.000247484,0.000247484
73,162.498,0.7199,0.66816,1.03815,0.7907,0.75622,0.80753,0.6044,0.76152,0.78252,0.97966,0.000239238,0.000239238,0.000239238
74,164.699,0.70502,0.64565,1.00723,0.82571,0.75196,0.80761,0.60028,0.77259,0.78209,0.99038,0.000230991,0.000230991,0.000230991
75,166.902,0.68611,0.64474,1.01499,0.77203,0.78558,0.80038,0.60072,0.7715,0.80116,0.99263,0.000222744,0.000222744,0.000222744
76,169.109,0.70173,0.65196,1.02011,0.77028,0.80486,0.80245,0.6023,0.78847,0.84144,1.01069,0.000214497,0.000214497,0.000214497
77,171.271,0.70388,0.64005,1.01428,0.78323,0.79091,0.80812,0.61343,0.79234,0.83532,1.01451,0.000206251,0.000206251,0.000206251
78,173.499,0.71107,0.65746,1.01429,0.78841,0.8034,0.81834,0.61269,0.77883,0.8276,1.00614,0.000198004,0.000198004,0.000198004
79,175.695,0.71254,0.63876,1.01867,0.79549,0.79997,0.82709,0.61543,0.79032,0.81582,1.01049,0.000189757,0.000189757,0.000189757
